Filename	Quality
QC_Shew_11_06_Run-4_12Apr12_Jaguar_12-02-27	good
QC_Shew_11_06_Short_Wash_Blank-2_12Apr12_Jaguar_12-02-27	poor
QC_Shew_11_06_Short_Wash_Run-01_25May12_Jaguar_12-02-27	good
QC_Shew_11_06_Short_Wash_Run-03_25May12_Jaguar_12-02-27	good
QC_Shew_11_06_Short_Wash_Run-3_12Apr12_Jaguar_12-02-26	good
QC_Shew_11_06_Short_Wash_Run-4_12Apr12_Jaguar_12-02-27	ok
QC_Shew_12_01_Run-01_17Jun12_Jaguar_12-02-26	good
QC_Shew_12_01_Run-02_17Jun12_Jaguar_12-02-27	good
QC_Shew_12_01_Run-03_13Jun12_Jaguar_12-02-26	good
QC_Shew_12_01_Run-04_13Jun12_Jaguar_12-02-27	good
QC_Shew_12_01_Run-05_17Jun12_Jaguar_12-02-26	good
QC_Shew_12_01_Run-06_13Jun12_Jaguar_12-02-27	good
QC_Shew_12_01_Run-06_17Jun12_Jaguar_12-02-27	good
QC_Shew_12_02_Run-01_18Sep12_Roc_12-03-29	good
QC_Shew_12_02_Run-03_18Sep12_Roc_12-04-08	ok
QC_Shew_12_02_Run-07_18Sep12_Roc_12-04-08	ok
QC_Shew_12_02_Run-08_18Sep12_Roc_12-04-09	ok
